Location,Country,Date,Avalanche Problem 1,Avalanche Problem 2,Dead,Group Size,Type
"Cheneil
Details",Italy,2023-03-14 11:15:00,Wind slab,New snow,1,4,Off-piste skiing
"Hoher Sarstein
Details",Austria,2023-03-11 16:00:00,Wind slab,,1,1,Backcountry skiing
"Peisey-Nancroix
Details",France,2023-03-16 14:30:00,,,1,,Off-piste skiing
"Champagny-en-Vanoise
Details",France,2023-03-17 12:30:00,Persistent weak layer,Wet snow,1,5,
"Champagny-en-Vanoise
Details",France,2023-03-18 17:00:00,Wet snow,Persistent weak layer,1,3,Backcountry skiing
"Canale degli spagnoli - Val Veny
Details",Italy,2023-03-19 13:15:00,Wet snow,Persistent weak layer,2,4,Backcountry skiing
"Schaftällihorn
Details",Switzerland,2023-03-16 12:00:00,Persistent weak layer,Wet snow,1,1,
"Louettes Econduè
Details",Switzerland,2023-03-15 11:40:00,Persistent weak layer,Wet snow,1,6,Off-piste skiing
"Scheid
Details",Austria,2023-03-17 10:25:00,Persistent weak layer,,1,2,Off-piste skiing
"Monte Rotberg
Details",Italy,2023-03-25 13:30:00,Wet snow,Persistent weak layer,2,2,Hiking on foot or snowshoeing
"Canale di Vofrede
Details",Italy,2023-04-01 11:43:00,Wind slab,New snow,2,2,Backcountry skiing
"Tiergartenspitz
Details",Italy,2023-04-02 08:47:00,Wind slab,Persistent weak layer,2,7,Backcountry skiing
"Kvalvikdalen
Details",Norway,2023-03-31 15:00:00,Persistent weak layer,,2,5,Backcountry skiing
"Grøtnedbukta, Reinøya
Details",Norway,2023-03-31 15:15:00,Persistent weak layer,Wet snow,2,2,Within building or structure
"Tverrelva, Storslett
Details",Norway,2023-03-31 17:15:00,Persistent weak layer,,1,6,Backcountry skiing
"Les Contamines-Montjoie
Details",France,2023-04-09 11:30:00,Wet snow,Wind slab,6,,Backcountry skiing
"Pointe de la Golette
Details",France,2023-04-13 14:00:00,New snow,Wind slab,3,4,
"Gstelliwang
Details",Switzerland,2023-03-21 16:05:00,Persistent weak layer,,2,12,Backcountry skiing
"Säntis
Details",Switzerland,2023-04-23 14:25:00,Wet snow,Gliding snow,1,2,Hiking on foot or snowshoeing
"Val Musauna
Details",Switzerland,2023-04-29 12:50:00,Wet snow,,1,2,On skiruns
"Jungfrau
Details",Switzerland,2023-05-17 10:30:00,New snow,,1,1,Backcountry skiing
"Grosshorn
Details",Switzerland,2023-05-19 12:00:00,Wind slab,,3,3,Mountaineering/Climbing
"Aletschhorn
Details",Switzerland,2023-06-02 19:00:00,,,1,2,Backcountry skiing
"Middagstinden
Details",Norway,2023-04-24 14:00:00,New snow,Wind slab,1,2,Backcountry skiing
