Location,Country,Date,Avalanche Problem 1,Avalanche Problem 2,Dead,Group Size,Type
"Cap de Vaquèira
Details",Spain,2020-03-03 14:30:00,Wind slab,New snow,1,4.0,Off-piste skiing
"Punta Helbronner
Details",Italy,2019-11-30 11:00:00,Wind slab,Wind slab,2,2.0,Off-piste skiing
"Strahleggpass
Details",Switzerland,2020-05-07 12:15:00,,,1,2.0,Backcountry skiing
"Tofana di Rozes - rifugio Giussani
Details",Italy,2020-05-09 09:30:00,Wet snow,Wet snow,1,2.0,Off-piste skiing
"Val Sesia - Passo della Civera
Details",Italy,2019-12-15 10:02:00,Wind slab,Wind slab,1,4.0,Off-piste skiing
"Alpe di Siusi - Hundskopf
Details",Italy,2019-12-15 11:00:00,Wind slab,Wind slab,1,4.0,Other
"punta Fontana fredda- Valtournanche- Cheneil
Details",Italy,2019-12-15 09:22:00,Wind slab,Wind slab,1,1.0,Off-piste skiing
"Solda-Schotnaufpiste
Details",Italy,2019-12-24 10:24:00,Wind slab,Wind slab,1,1.0,Off-piste skiing
"Senales
Details",Italy,2019-12-28 10:27:00,Wind slab,Wind slab,3,6.0,Off-piste skiing
"dolomiti di brenta vedretta superiore-scivolo ovest (vallone Massari)
Details",Italy,2019-12-29 11:29:00,Gliding snow,Wind slab,1,2.0,Mountaineering/Climbing
"Pizzo del Diavolo/Canalone della Malgina
Details",Italy,2020-05-12 10:15:00,Wet snow,New snow,1,1.0,Off-piste skiing
"Mosgardshnjukar
Details",Iceland,2020-01-29 12:45:00,Wind slab,,1,3.0,Backcountry skiing
"Lammereis - Kleinglocknerkees
Details",Austria,2020-03-08 11:30:00,Wind slab,,1,1.0,Mountaineering/Climbing
"Hallstatt
Details",Austria,2020-03-08 09:15:00,Wind slab,,5,5.0,Other
"Göller, Eisgrube
Details",Austria,2020-03-07 12:00:00,Wind slab,,1,1.0,Off-piste skiing
"Hoher Ifen, Ifenmulde, Kleinwalsertal
Details",Austria,2019-12-15 11:30:00,Wind slab,,1,2.0,Backcountry skiing
"Mont Brûlé
Details",Switzerland,2020-05-08 12:00:00,,,1,,
